RTK Theater No,Metro,Theater Long Name,Circuit Name,Address,City,State,ZIP Code,Area,Active Screen Count,Link
990681,Albany-Schenectady-Troy,"Regal Colonie Center (Albany, NY)",REGAL,131 Colonie Center,"Albany, NY",NY,12205,"Albany, NY - Central",13,https://tickets.twosleepypeople.com/?lat=42.711371&lon=-73.81444799999997&location=Colonie&country=US&date=2026-01-22
7680,Albuquerque-Santa Fe,"Albuquerque Rio 24 + XD (Albuquerque, NM)",Cinemark,4901 Pan American Fwy. NE,"Albuquerque, NM",NM,87109-2230,"Albuquerque, NM",24,https://tickets.twosleepypeople.com/?lat=35.141649&lon=-106.60238500000003&location=Albuquerque&country=US&date=2026-01-22
2211,Atlanta,"The Plaza (Atlanta, GA)",Independant Reporting,1049 Ponce De Leon Ave Ne,"Atlanta, GA",GA,30306-4219,"Atlanta, GA - Midtown",3,https://tickets.twosleepypeople.com/?lat=33.773346&lon=-84.353049&location=Atlanta&country=US&date=2026-01-22
7842,Austin,"Tinseltown 20 + XD (Pflugerville, TX)",Cinemark,15436 Fm 1825,"Pflugerville, TX",TX,78660-3132,"Austin, TX - Wells Branch",20,https://tickets.twosleepypeople.com/?lat=30.443821753329395&lon=-97.66539392339064&location=Austin&country=US&date=2026-01-22
991429,Austin,"Alamo Lakeline 10 (Austin, TX)",Alamo Drafthouse,14028 N US Highway 183,"Austin, TX",TX,78717,"Austin, TX - Cedar Park",10,https://tickets.twosleepypeople.com/?lat=31.136001244618754&lon=-98.28709247738107&location=North%20US%20Highway%20183%2C%20Lampasas%2C%20Texas%2076550%2C%20United%20States&country=US&date=2026-01-22
5224,Austin,"Regal Westgate (Austin, TX)",REGAL,4477 S Lamar Blvd,"Austin, TX",TX,78745-1477,"Austin, TX - South",11,https://tickets.twosleepypeople.com/?lat=30.230688&lon=-97.79988600000001&location=Austin&country=US&date=2026-01-22
9038,Baltimore,"Egyptian 24 + XD (Hanover, MD)",Cinemark,7000 Arundel Mills Cir,"Hanover, MD",MD,21076-1280,"Baltimore, MD - Washington",24,https://tickets.twosleepypeople.com/?lat=39.156802&lon=-76.72417100000001&location=Hanover&country=US&date=2026-01-22
7886,Boston (Manchester),"Regal Bellingham (Bellingham, MA)",REGAL,259 Hartford Ave,"Bellingham, MA",MA,02019-3007,"Franklin, MA",14,https://tickets.twosleepypeople.com/?lat=43.825217&lon=-72.63182799999998&location=Bethel&country=US&date=2026-01-22
5612,Boston (Manchester),"Regal Fox Run (Newington, NH)",REGAL,45 Gosling Rd,"Newington, NH",NH,03801-2802,"Portsmouth, NH",15,https://tickets.twosleepypeople.com/?lat=43.094582&lon=-70.798201&location=Newington&country=US&date=2026-01-22
993038,Boston (Manchester),"Alamo Drafthouse Seaport (Boston, MA)",Alamo Drafthouse,60 Seaport Blvd,"Boston, MA",MA,02210,"Boston, MA",11,https://tickets.twosleepypeople.com/?lat=42.352934&lon=-71.04698100000002&location=Boston&country=US&date=2026-01-22
990956,Charlotte,"Regal Stonecrest at Piper Glen (Charlotte, NC)",REGAL,7824 Rea Rd,"Charlotte, NC",NC,28277-6502,"Charlotte, NC - Matthews",22,https://tickets.twosleepypeople.com/?lat=35.062006&lon=-80.81856199999999&location=Charlotte&country=US&date=2026-01-22
7901,Colorado Springs-Pueblo,"Tinseltown 20 + XD (Colorado Springs, CO)",Cinemark,1545 E Cheyenne Mountain Blvd,"Colorado Springs, CO",CO,80906-4006,"Colorado Springs, CO",20,https://tickets.twosleepypeople.com/?lat=38.790185&lon=-104.79950100000002&location=Colorado%20Springs&country=US&date=2026-01-22
